date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:23:02	51304/51304	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2023:00:02%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/index.html	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/index.html	(from )
06:23:03	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2026%20Jul%202024%2001:23:07%20GMT	https://demos.codexcoder.com/robots.txt		(from )
06:23:03	1598/1598	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202017%2020:50:54%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/images/favicon.png	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/images/favicon.png	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:04	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202016%2016:08:06%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/font-awesome.min.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/font-awesome.min.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:04	121200/121200	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2020:53:28%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/bootstrap.min.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/bootstrap.min.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:05	3199/3199	---M--	200	added ('OK')	text/css	date:Sun,%2007%20May%202017%2023:39:04%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/flaticon/flaticon.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/flaticon/flaticon.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:05	17762/17762	---M--	200	added ('OK')	text/css	date:Tue,%2013%20Dec%202016%2010:00:26%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/swiper.min.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/swiper.min.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:05	17565/17565	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202016%2013:40:20%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/lightcase.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/lightcase.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:06	12842/12842	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202017%2001:06:02%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/quick-view.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/quick-view.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:06	1250/1250	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Jun%202017%2006:05:38%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/jquery.nstSlider.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/jquery.nstSlider.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:06	6260/6260	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Jun%202017%2006:17:26%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/flexslider.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/flexslider.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:07	1825/1825	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Apr%202017%2019:45:40%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/images/logo.png	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/images/logo.png	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
06:23:07	15865/15865	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202017%2020:26:58%20GMT	https://demos.codexcoder.com/labartisan/html/all-study/assets/css/responsive.css	D:/SchoolProject/demos.codexcoder.com/labartisan/html/all-study/assets/css/responsive.css	(from https://demos.codexcoder.com/labartisan/html/all-study/index.html)
